dataset_size,run_1_reward,run_2_reward,run_3_reward,run_4_reward,run_5_reward,average_reward
20,58.94,149.3,49.08,204.58,52.18,102.816
40,152.82,104.68,62.42,138.78,60.1,103.76
60,124.12,115.24,56.14,118.96,258.38,134.568
80,225.1,90.32,120.62,241.12,222.42,179.916
100,210.78,305.12,98.2,260.86,346.62,244.316
120,258.38,255.04,112.56,288.74,238.12,230.568
140,296.4,248.26,168.98,306.06,303.48,264.636
160,375.36,303.48,351.92,232.76,370.56,326.816
180,307.14,355.74,183.16,405.76,371.12,324.584
200,379.84,361.66,190.86,458.24,298.26,337.772
220,447.96,372.4,228.74,438.6,391.72,375.884
240,376.16,474.26,299.08,393.06,373.9,383.292
260,383.36,314.76,315.84,386.94,347.98,349.776
280,413.26,397.72,342.44,390.62,412.6,391.328
300,465.48,391,373.62,409.7,431.04,414.168
320,383.34,401.68,323.24,442.42,394.26,388.988
340,391.66,500,378.6,438.24,499.68,441.636
360,491.92,445.04,406.14,500,449.42,458.504
380,412.08,442.3,373.04,500,466.4,438.764
400,439.26,470.5,401.16,499.94,490,460.172
420,495.4,460.82,458.78,410.42,493.98,463.88
440,494.12,492.56,473.28,499.56,498,491.504
460,496.24,494.42,487.46,499.56,499.48,495.432
480,489.86,489.7,486.66,500,500,493.244
500,498.4,500,486.98,493.88,500,495.852
520,500,500,416.26,500,500,483.252
540,500,500,499.96,500,499.78,499.948
560,499.76,500,494.58,500,500,498.868
580,499.92,496.06,499.76,500,500,499.148
600,500,500,499.6,499.86,500,499.892
620,500,500,500,500,500,500
640,500,494.22,473.56,500,499.92,493.54
660,499.82,500,500,500,500,499.964
680,500,500,500,500,500,500
700,500,500,500,500,500,500
720,500,500,500,500,500,500
740,500,500,500,500,500,500
760,500,500,500,500,500,500
780,500,500,500,500,500,500
800,500,500,500,500,500,500
820,500,500,500,500,500,500
840,500,500,500,500,500,500
860,500,500,500,500,500,500
880,500,500,500,500,500,500
900,500,500,497,500,500,499.4
920,500,500,500,500,500,500
940,500,500,500,500,500,500
960,500,500,500,500,500,500
980,500,500,500,500,500,500
1000,500,500,500,500,500,500
