dataset_size,run_1_reward,run_2_reward,run_3_reward,run_4_reward,run_5_reward,average_reward,mean_reward,std_reward,sem_reward,ci_lower,ci_upper,non_inferior
20,58.94,149.3,49.08,204.58,52.18,102.816,102.81599999999999,70.52187518777419,31.538341364123763,15.251526493521297,190.38047350647867,False
40,152.82,104.68,62.42,138.78,60.1,103.76,103.76000000000002,42.57147401723365,19.038541960980098,50.900533362333924,156.6194666376661,False
60,124.12,115.24,56.14,118.96,258.38,134.568,134.56799999999998,74.50957066041919,33.32169299420424,42.05214858933783,227.08385141066213,False
80,225.1,90.32,120.62,241.12,222.42,179.916,179.916,69.16930735521355,30.933454640566737,94.03096127634035,265.80103872365964,False
100,210.78,305.12,98.2,260.86,346.62,244.316,244.31599999999997,96.06181280821221,42.96014869620449,125.03950543385342,363.5924945661465,False
120,258.38,255.04,112.56,288.74,238.12,230.568,230.56800000000004,68.4457604238568,30.609874615881722,145.5813634520169,315.5546365479832,False
140,296.4,248.26,168.98,306.06,303.48,264.636,264.636,58.420885648884166,26.12661432332938,192.09688954660146,337.1751104533986,False
160,375.36,303.48,351.92,232.76,370.56,326.816,326.816,59.77325555798346,26.731412532823626,252.59770051821874,401.0342994817812,False
180,307.14,355.74,183.16,405.76,371.12,324.584,324.584,86.64709966294313,38.74976097990799,216.9974157997498,432.17058420025023,False
200,379.84,361.66,190.86,458.24,298.26,337.772,337.772,99.9965325398836,44.71980885468989,213.60990560001505,461.93409439998493,False
220,447.96,372.4,228.74,438.6,391.72,375.884,375.88399999999996,88.0944384169625,39.39703054799942,266.5003073756788,485.2676926243211,False
240,376.16,474.26,299.08,393.06,373.9,383.292,383.29200000000003,62.45263581307037,27.92966781041264,305.7468105179793,460.83718948202073,False
260,383.36,314.76,315.84,386.94,347.98,349.776,349.776,34.964431641312295,15.636569188923767,306.3619240133259,393.1900759866741,False
280,413.26,397.72,342.44,390.62,412.6,391.328,391.328,29.003905254292917,12.970940752312456,355.3148950384314,427.34110496156853,False
300,465.48,391.0,373.62,409.7,431.04,414.168,414.168,35.77165525943691,15.997570565557762,369.7516235082008,458.5843764917992,False
320,383.34,401.68,323.24,442.42,394.26,388.988,388.988,43.00743796135734,19.233510963939995,335.5872126284006,442.3887873715994,False
340,391.66,500.0,378.6,438.24,499.68,441.636,441.6360000000001,57.57198346418159,25.74697372508077,370.1509408273432,513.1210591726569,False
360,491.92,445.04,406.14,500.0,449.42,458.504,458.504,38.22412170344795,17.094346901826935,411.04248421786946,505.9655157821306,False
380,412.08,442.3,373.04,500.0,466.4,438.764,438.764,48.88194840633912,21.860671901842355,378.06904450179474,499.4589554982053,False
400,439.26,470.5,401.16,499.94,490.0,460.172,460.172,40.30384249671487,18.02442631541986,410.12816978255415,510.2158302174459,False
420,495.4,460.82,458.78,410.42,493.98,463.88,463.88,34.61526252969923,15.480416015081762,420.89947472850065,506.86052527149934,False
440,494.12,492.56,473.28,499.56,498.0,491.504,491.504,10.573196300078811,4.7284771332850974,478.3756428082509,504.6323571917491,True
460,496.24,494.42,487.46,499.56,499.48,495.432,495.43199999999996,4.966298420352941,2.2209961728918,489.26552604711145,501.59847395288847,True
480,489.86,489.7,486.66,500.0,500.0,493.244,493.244,6.297767858535269,2.816447407639628,485.42428838101193,501.0637116189881,True
500,498.4,500.0,486.98,493.88,500.0,495.852,495.85200000000003,5.556646470669148,2.485007847070101,488.95251212662413,502.75148787337594,True
520,500.0,500.0,416.26,500.0,500.0,483.252,483.25200000000007,37.44966648716648,16.748,436.7520973781473,529.7519026218528,False
540,500.0,500.0,499.96,500.0,499.78,499.948,499.948,0.09549869109051794,0.04270831300813032,499.8294227133973,500.06657728660264,True
560,499.76,500.0,494.58,500.0,500.0,498.868,498.86800000000005,2.3993165693588727,1.0730069897256056,495.8888549955334,501.8471450044667,True
580,499.92,496.06,499.76,500.0,500.0,499.148,499.14799999999997,1.7290228454245478,0.77324252340388,497.0011345807645,501.29486541923546,True
600,500.0,500.0,499.6,499.86,500.0,499.892,499.892,0.17412639087742116,0.07787168933572258,499.67579352931034,500.10820647068965,True
620,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
640,500.0,494.22,473.56,500.0,499.92,493.54,493.53999999999996,11.44367073975829,5.117765137244968,479.33080603514424,507.7491939648557,True
660,499.82,500.0,500.0,500.0,500.0,499.964,499.96399999999994,0.08049844718999546,0.03600000000000136,499.8640479762128,500.06395202378707,True
680,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
700,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
720,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
740,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
760,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
780,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
800,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
820,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
840,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
860,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
880,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
900,500.0,500.0,497.0,500.0,500.0,499.4,499.4,1.3416407864998738,0.6,497.7341329368813,501.0658670631187,True
920,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
940,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
960,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
980,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
1000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,500.0,500.0,True
